Time,P1,P2,P3,P4,S1,S2,S3
2576804,0,0,0,0,0,0,0
2577069,0,0,0,0,0,0,0
2577349,0,0,0,0,0,0,0
2577614,0,0,0,0,0,0,0
2577879,0,0,0,0,0,0,0
2578136,0,1,1,0,142,0,0
2578415,1,1,1,0,0,0,0
2578689,1,1,1,0,142,30,0
2578963,1,1,1,1,135,32,0
2579223,1,0,1,1,0,0,85
2579503,1,0,0,1,0,0,0
2579783,1,0,0,0,0,0,0
2580063,1,0,0,0,0,0,0
2580328,0,0,0,0,0,0,0
2580608,0,0,0,0,0,0,0
2580888,0,0,0,0,0,0,0
2581168,0,0,0,0,0,0,0
2581448,0,0,0,0,0,0,0
2581728,0,0,0,0,0,0,0
2582008,0,0,0,0,0,0,0
2582288,0,1,0,0,0,0,0
2582568,1,1,1,1,0,0,0
2582848,1,1,1,1,0,0,0
2583128,0,0,0,1,0,0,0
2583408,0,0,0,1,0,0,0
2583688,0,0,0,1,0,0,0
2583953,0,0,0,0,0,0,0
2584217,0,0,0,0,0,0,0
2584489,0,0,0,0,111,0,0
2584777,0,0,0,0,144,0,0
2585027,0,0,0,0,151,31,141
2585306,0,1,1,0,0,0,0
2585571,1,1,1,0,0,0,0
2585850,1,1,1,0,0,0,0
2586115,1,1,1,0,0,0,0
2586379,0,0,0,1,0,0,0
2586658,0,0,0,1,0,0,0
2586923,0,0,0,1,0,0,0
2587187,0,0,0,1,0,0,0
2587466,0,0,0,1,0,0,0
2587731,0,0,0,0,0,0,0
2587995,0,0,0,0,0,0,0
2588260,0,0,0,0,0,0,0
2588516,1,0,0,0,131,0,0
2588789,1,0,1,0,0,127,0
2589054,1,1,1,0,140,125,0
2589319,1,1,1,0,136,116,0
2589579,1,0,1,0,119,30,0
2589851,1,0,1,0,115,0,0
2590116,1,0,0,0,0,0,0
2590396,1,0,0,0,0,0,0
2590661,0,0,0,0,0,0,0
2590941,0,0,0,1,0,0,0
2591206,0,0,0,1,0,0,0
2591486,0,0,0,1,0,0,0
2591751,0,0,0,1,0,0,0
2592016,0,0,0,0,0,0,0
2592281,0,0,0,0,0,0,0
2592561,0,0,0,0,0,0,0
2592841,0,1,0,0,0,0,0
2593106,0,1,1,0,0,0,0
2593371,0,1,1,0,0,0,0
2593635,0,1,0,0,0,0,0
2593915,0,0,0,0,0,0,0
2594195,0,0,0,1,0,0,0
2594469,0,0,0,1,95,0,0
2594743,1,0,0,1,135,31,0
2595002,1,0,0,1,133,30,0
2595264,1,0,0,0,0,0,59
2595528,1,0,0,0,0,0,0
2595793,1,0,0,0,0,0,0
2596058,1,0,0,0,0,0,0
2596322,0,1,0,0,0,0,0
2596586,0,1,0,0,0,0,0
2596866,0,1,0,0,0,0,0
2597146,0,1,0,0,0,0,0
2597426,0,1,1,0,0,0,0
2597706,0,0,1,1,0,0,0
2597971,0,0,0,1,0,0,0
2598250,0,0,0,1,0,0,0
2598530,0,0,0,0,0,0,0
2598810,0,0,0,0,0,0,0
2599072,1,0,0,0,0,0,59
2599318,1,0,0,0,137,119,54
2599574,1,0,0,0,125,32,63
2599849,1,0,0,0,117,32,0
2600129,1,1,0,0,0,0,0
2600409,1,1,0,0,0,0,0
2600689,1,1,0,0,0,0,0
2600954,1,0,1,0,0,0,0
2601233,0,0,1,1,0,0,0
2601498,0,0,1,1,0,0,0
2601763,0,0,0,1,0,0,0
2602028,0,0,0,1,0,0,0
2602308,0,0,0,1,0,0,0
2602573,0,0,0,0,0,0,0
2602838,0,0,0,0,0,0,0
2603103,0,0,0,0,0,0,0
2603383,1,1,0,0,0,0,0
2603663,1,1,0,0,0,0,0
2603928,0,0,0,0,0,0,0
2604192,0,0,0,0,0,0,0
2604472,0,0,0,0,0,0,0
2604752,0,0,1,1,0,0,0
2605032,0,0,1,1,0,0,0
2605304,0,0,1,1,134,0,0
2605578,0,0,1,1,132,31,0
2605850,0,0,0,1,140,0,0
2606130,1,0,0,1,0,0,0
2606397,1,1,0,0,0,0,26
2606676,1,1,0,0,0,0,0
2606956,0,1,0,0,0,0,0
2607236,0,1,0,0,0,0,0
2607516,0,1,0,0,0,0,0
2607781,0,1,0,0,0,0,0
2608061,0,0,0,0,0,0,0
2608341,0,0,0,0,0,0,0
2608608,0,0,0,0,0,0,25
2608887,0,0,1,1,0,0,0
2609167,0,0,1,1,0,0,0
2609447,1,0,1,1,0,0,0
2609733,1,0,1,1,147,0,0
2610007,1,0,1,1,134,31,0
2610280,1,0,1,1,126,0,0
2610560,1,0,1,1,0,0,0
2610825,1,0,0,0,0,0,0
2611105,1,1,0,0,0,0,0
2611385,1,1,0,0,0,0,0
2611665,0,0,0,0,0,0,0
2611930,0,0,0,0,0,0,0
2612194,0,0,0,0,0,0,0
2612473,0,0,0,0,0,0,0
2612738,0,0,0,0,0,0,0
2613002,0,0,0,0,0,0,0
2613281,0,0,0,0,0,0,0
2613561,0,0,0,1,0,0,0
2613826,1,0,1,1,0,0,0
2614106,1,0,1,1,0,0,0
2614371,1,1,1,1,0,0,0
2614635,1,1,0,0,0,0,0
2614915,1,0,0,0,0,0,0
2615177,0,0,0,0,0,0,52
2615421,0,0,0,0,121,115,128
2615718,0,0,0,0,0,31,0
2615983,0,0,0,0,0,0,0
2616247,0,0,0,0,0,0,0
2616512,0,0,0,0,0,0,0
2616777,0,0,0,0,0,0,0
2617042,0,0,0,1,0,0,0
2617307,0,1,0,1,0,0,0
2617572,0,1,0,1,0,0,0
2617852,0,1,0,1,0,0,0
2618132,1,1,1,1,0,0,0
2618397,1,0,1,1,0,0,0
2618661,1,0,0,1,0,0,0
2618941,0,0,0,1,0,0,0
2619221,0,0,0,0,0,0,0
2619501,0,0,0,0,0,0,0
2619781,0,0,0,0,0,0,0
2620041,0,0,0,0,0,0,91
2620350,0,0,0,0,0,0,0
2620645,0,0,0,0,0,0,0
2620925,0,1,0,0,0,0,0
2621205,1,1,0,0,0,0,0
2621470,1,1,0,0,0,0,0
2621749,1,1,1,0,0,0,0
2622014,0,1,1,1,0,0,0
2622294,0,1,0,1,0,0,0
2622559,0,0,0,1,0,0,0
2622824,0,0,0,1,0,0,0
2623089,0,0,0,1,0,0,0
2623354,0,0,0,0,0,0,0
2623618,0,0,0,0,0,0,0
2623883,0,0,0,0,0,0,0
2624147,0,0,0,0,0,0,0
2624411,0,0,0,0,0,0,0
2624675,1,0,0,0,0,0,0
2624939,1,0,0,0,0,0,0
2625204,1,0,0,0,0,0,0
2625483,0,0,1,1,0,0,0
2625763,0,1,1,1,0,0,0
2626036,0,1,1,1,111,0,0
2626289,0,1,1,1,127,32,123
2626550,0,0,0,1,0,0,57
2626829,0,0,0,1,0,0,0
2627094,0,0,0,1,0,0,0
2627359,0,0,0,0,0,0,0
2627639,0,0,0,0,0,0,0
2627919,0,0,0,0,0,0,0
2628199,0,0,0,0,0,0,0
2628479,0,0,0,0,0,0,0
2628744,1,0,1,0,0,0,0
2629024,1,0,1,0,0,0,0
2629289,1,0,0,0,0,0,0
2629569,0,0,0,0,0,0,0
2629849,0,1,0,0,0,0,0
2630129,0,1,0,1,0,0,0
2630394,0,1,0,1,0,0,0
2630674,0,1,0,1,0,0,0
2630923,0,1,0,1,141,0,133
2631197,0,1,0,1,134,31,0
2631476,0,0,0,1,0,32,51
2631749,1,0,0,1,117,0,0
2632014,1,0,0,1,0,0,0
2632293,1,0,0,0,0,0,0
2632573,1,0,0,0,0,0,0
2632853,1,0,1,0,0,0,0
2633133,1,0,1,0,0,0,0
2633398,1,0,1,0,0,0,0
2633663,1,1,1,0,0,0,0
2633928,1,1,1,0,0,0,0
2634192,1,1,1,0,0,0,0
2634472,1,0,1,0,0,0,0
2634737,0,0,0,1,0,0,0
2635017,0,0,0,1,0,0,0
2635282,0,0,0,1,0,0,0
2635547,0,0,0,1,0,0,0
2635812,0,0,0,1,0,0,0
2636077,0,0,0,0,0,0,0
2636356,0,0,0,0,0,0,0
2636614,0,0,0,0,125,0,0
2636879,0,0,0,0,113,129,0
2637189,0,0,1,0,0,0,0
2637486,0,0,1,0,0,31,0
2637766,1,1,0,0,0,0,0
2638046,1,1,0,0,0,0,0
2638326,1,1,0,0,0,0,0
2638606,1,1,0,0,0,0,0
2638886,0,1,0,1,0,0,0
2639151,0,1,0,1,0,0,0
2639430,0,1,0,1,0,0,0
2639710,0,0,0,1,0,0,0
2639990,0,0,1,1,0,0,0
2640255,0,0,1,0,0,0,0
2640520,0,0,1,0,0,0,0
2640800,0,0,1,0,0,0,0
2641080,1,0,1,0,0,0,0
2641360,1,0,1,0,0,0,0
2641622,1,0,1,0,0,0,59
2641895,1,0,1,0,130,31,0
