TS(ms): 67163 | PIR: 0,1,1,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 67429 | PIR: 0,1,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 67695 | PIR: 0,1,1,1 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 67961 | PIR: 0,1,0,1 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 68227 | PIR: 0,1,0,0 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 68493 | PIR: 0,0,0,0 | US(cm): 211,211,247 | Delta(cm): 0,0,44
TS(ms): 68760 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 69026 | PIR: 1,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 69292 | PIR: 1,0,0,0 | US(cm): 211,211,253 | Delta(cm): 0,0,50
TS(ms): 69559 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 69825 | PIR: 0,0,0,0 | US(cm): 210,212,245 | Delta(cm): 0,0,42
TS(ms): 70089 | PIR: 0,0,0,0 | US(cm): 211,211,212 | Delta(cm): 0,0,0
TS(ms): 70357 | PIR: 0,0,0,1 | US(cm): 210,244,248 | Delta(cm): 0,33,45
TS(ms): 70654 | PIR: 0,0,1,1 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 70919 | PIR: 0,1,1,1 | US(cm): 209,212,211 | Delta(cm): 0,0,0
TS(ms): 71185 | PIR: 0,1,1,1 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 71450 | PIR: 0,1,1,0 | US(cm): 211,211,215 | Delta(cm): 0,0,12
TS(ms): 71715 | PIR: 0,0,0,0 | US(cm): 210,210,216 | Delta(cm): 0,0,13
TS(ms): 71982 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 72249 | PIR: 1,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 72513 | PIR: 1,0,0,0 | US(cm): 209,211,215 | Delta(cm): 0,0,12
TS(ms): 72779 | PIR: 0,0,0,0 | US(cm): 211,210,245 | Delta(cm): 0,0,42
TS(ms): 73045 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 73311 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 73575 | PIR: 0,0,0,0 | US(cm): 210,211,215 | Delta(cm): 0,0,12
TS(ms): 73839 | PIR: 0,0,0,0 | US(cm): 209,211,218 | Delta(cm): 0,0,15
TS(ms): 74106 | PIR: 0,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 74371 | PIR: 0,0,1,0 | US(cm): 153,244,246 | Delta(cm): 56,33,43
TS(ms): 74636 | PIR: 0,1,1,0 | US(cm): 164,244,252 | Delta(cm): 45,33,49
TS(ms): 74903 | PIR: 0,1,1,0 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 75169 | PIR: 0,1,1,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 75433 | PIR: 1,0,1,1 | US(cm): 209,212,215 | Delta(cm): 0,0,12
TS(ms): 75700 | PIR: 1,0,1,1 | US(cm): 211,211,247 | Delta(cm): 0,0,44
TS(ms): 75964 | PIR: 0,0,1,1 | US(cm): 211,212,215 | Delta(cm): 0,0,12
TS(ms): 76231 | PIR: 0,0,0,1 | US(cm): 210,216,255 | Delta(cm): 0,0,52
TS(ms): 76498 | PIR: 0,0,0,0 | US(cm): 209,216,246 | Delta(cm): 0,0,43
TS(ms): 76764 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 77030 | PIR: 0,0,0,0 | US(cm): 209,217,246 | Delta(cm): 0,0,43
TS(ms): 77296 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 77562 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 77828 | PIR: 0,1,0,0 | US(cm): 210,210,253 | Delta(cm): 0,0,50
TS(ms): 78095 | PIR: 0,1,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 78361 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 78627 | PIR: 1,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 78893 | PIR: 1,0,0,1 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 79176 | PIR: 1,0,1,1 | US(cm): -1,242,246 | Delta(cm): 0,31,43
TS(ms): 79440 | PIR: 1,0,1,1 | US(cm): 209,210,213 | Delta(cm): 0,0,0
TS(ms): 79706 | PIR: 1,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 79970 | PIR: 0,0,1,0 | US(cm): 209,211,215 | Delta(cm): 0,0,12
TS(ms): 80236 | PIR: 0,0,0,0 | US(cm): 209,211,248 | Delta(cm): 0,0,45
TS(ms): 80502 | PIR: 0,1,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 80768 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 81034 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 81300 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
